Product_Name,Brand,Rating,Ratings_Count,Ingredients,Category,product_id
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Magnesium Ascorbyl Phosphate,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Portulaca Oleracea Extract,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Angelica Keiskei Leaf/Stem Extract,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Beta-Glucan,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Betaine,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Brassica Oleracea Italica,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Lactuca Scariola Sativa,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Citrullus Lanatus,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Arginine,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Brassica Oleracea Capitata,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Xanthan Gum,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Water,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Cichorium Intybus,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Carbomer,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Butylene Glycol,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Sodium Hyaluronate,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Glycerin,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Propylene Glycol,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Brassica Oleracea Botrytis,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Phenyl Trimethicone,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Bis-PEG-18 Methyl Ether Dimethyl Silane,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Tocopheryl Acetate,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,PEG-60 Hydrogenated Castor Oil,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Methylparaben,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Alcohol Denat.,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Phenoxyethanol,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Fragrance,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Aralia Cordata Extract,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Solanum Lycopersicum,"Serums, Essence & Ampoules",6975
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,C12-20 Alkyl Glucoside,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,C14-22 Alcohols,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Glyceryl Stearate,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Decarboxy Carnosine HCl,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Dimethiconol,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Panthenol,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Methylpropanediol,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Centella Asiatica Extract,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,VP/VA Copolymer,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Sorbitan Oleate,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Butyrospermum Parkii,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Stearoxytrimethylsilane,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Stearic Acid,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Stearyl Alcohol,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Ammonium Acryloyldimethyltaurate/VP Copolymer,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Isononyl Isononanoate,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Isohexadecane,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Water,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Euphorbia Cerifera,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Glycerin,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Pantolactone,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Acryloyldimethyltaurate/VP Copolymer,Moisturizers,10174
Crème Hydra-Repulpante ,Dr Pierre Ricaud,0.0,0,Sodium Acrylate,Moisturizers,10174
