sku,ingredient
MP-SMRMCM-26,Panthenol
MP-SMRMCM-26,Citric Acid
MP-SMRMCM-26,Ceramide NP
MP-SMRMCM-26,Betaine Salicylate
MP-SMRMCM-26,Tocopherol
MP-SMRMCM-26,Allantoin
MP-SMRMCM-26,Xanthan Gum
MP-SMRMCM-26,Acrylates/C10-30 Alkyl Acrylate Crosspolymer
MP-SMRMCM-26,Limnanthes Alba(Meadowfoam) Seed Oil
MP-SMRMCM-26,Bis-Ethoxydiglycol Succinate
MP-SMRMCM-26,Cetearyl Alcohol
MP-SMRMCM-26,Arginine
MP-SMRMCM-26,Hydroxyacetophenone
MP-SMRMCM-26,Citrus Aurantium Bergamia(Bergamot) Fruit Oil
MP-SMRMCM-26,Salvia Sclarea(Clary) Oil
HAN-PCBA-22,Mineral Oil
HAN-PCBA-22,Ethylhexyl Stearate
HAN-PCBA-22,Carthamus Tinctorius (Safflower) Seed Oil
HAN-PCBA-22,PEG-20 Glyceryl Triisostearate
HAN-PCBA-22,Cocos Nucifera(Coconut) Oil
HAN-PCBA-22,Polyethylene
HAN-PCBA-22,C13-15 Alkane
HAN-PCBA-22,Olea Europaea (Olive) Fruit Oil
HAN-PCBA-22,PEG-10 Isostearate
HAN-PCBA-22,Trihydroxystearin
HAN-PCBA-22,CitrusAurantium Dulcis (Orange) Peel Oil
HAN-PCBA-22,Lavandula Angustifolia (Lavender) Oil
HAN-PCBA-22,Tocopheryl Acetate
HAN-PCBA-22,Citrus Aurantium Bergamia(Bergamot) Fruit Oil
HAN-PCBA-22,Water
HAN-PCBA-22,Camellia Japonica Seed Oil
HAN-PCBA-22,Prunus Armeniaca (Apricot) Kernel Oil
HAN-PCBA-22,Simmondsia Chinensis(Jojoba) Seed Oil
HAN-PCBA-22,Helianthus Annuus (Sunflower) Seed Oil
HAN-PCBA-22,Moringa Oleifera Seed Oil
HAN-PCBA-22,Ethyl Macadamiate
HAN-PCBA-22,Glycerin
HAN-PCBA-22,Tocopherol
HAN-PCBA-22,Sodium PCA
HAN-PCBA-22,Citric Acid
HAN-PCBA-22,Lactic Acid
HAN-PCBA-22,Tartaric Acid
HAN-PCBA-22,Glycolic Acid
HAN-PCBA-22,Malic Acid
TIMY-LCBTM-6,Olea Europaea (Olive) Fruit Oil
TIMY-LCBTM-6,Vitis Vinifera (Grape) Seed Oil
TIMY-LCBTM-6,Cetyl Ethylhexanoate
TIMY-LCBTM-6,PEG-20 Glyceryl Trii-sostearate
TIMY-LCBTM-6,PEG-8 Isostearate
TIMY-LCBTM-6,Cera Microcristallina (Microcrystalline Wax/Cire Microcristalline)
